8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2022-09-20-19:04:43, 55=AAPL, 40=2, 38=10969, 21=2, 11=algo20220920190443, 60=2022-09-20-19:04:43, 54=2, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=97, 49=M3, 56=MS, 52=2022-09-20-19:05:50, 55=AHC, 40=2, 38=21395, 21=2, 11=algo20220920190550, 60=2022-09-20-19:05:50, 54=1, 44=1.40, 10=0252,
8=FIX4.4, 35=D, 34=99, 49=M3, 56=MS, 52=2022-09-20-19:05:52, 55=AOS, 40=2, 38=13131, 21=2, 11=algo20220920190552, 60=2022-09-20-19:05:52, 54=2, 44=40.38, 10=0252,
8=FIX4.4, 35=D, 34=100, 49=M3, 56=MS, 52=2022-09-20-19:05:56, 55=ATEN, 40=2, 38=15641, 21=2, 11=algo20220920190556, 60=2022-09-20-19:05:56, 54=2, 44=6.45, 10=0252,
8=FIX4.4, 35=D, 34=102, 49=M3, 56=MS, 52=2022-09-20-19:05:59, 55=AIR, 40=2, 38=22720, 21=2, 11=algo20220920190559, 60=2022-09-20-19:05:59, 54=2, 44=16.31, 10=0252,
8=FIX4.4, 35=D, 34=104, 49=M3, 56=MS, 52=2022-09-20-19:06:01, 55=AAN, 40=2, 38=27089, 21=2, 11=algo20220920190601, 60=2022-09-20-19:06:01, 54=1, 44=25.68, 10=0252,
8=FIX4.4, 35=D, 34=105, 49=M3, 56=MS, 52=2022-09-20-19:06:04, 55=ABB, 40=2, 38=26632, 21=2, 11=algo20220920190604, 60=2022-09-20-19:06:04, 54=2, 44=17.42, 10=0252,
8=FIX4.4, 35=D, 34=107, 49=M3, 56=MS, 52=2022-09-20-19:06:06, 55=ABT, 40=2, 38=1260, 21=2, 11=algo20220920190606, 60=2022-09-20-19:06:06, 54=1, 44=94.04, 10=0252,
8=FIX4.4, 35=D, 34=109, 49=M3, 56=MS, 52=2022-09-20-19:06:08, 55=ABBV, 40=2, 38=15508, 21=2, 11=algo20220920190608, 60=2022-09-20-19:06:08, 54=1, 44=83.60, 10=0252,
8=FIX4.4, 35=D, 34=110, 49=M3, 56=MS, 52=2022-09-20-19:06:11, 55=ANF, 40=2, 38=5328, 21=2, 11=algo20220920190611, 60=2022-09-20-19:06:11, 54=1, 44=9.10, 10=0252,
8=FIX4.4, 35=D, 34=111, 49=M3, 56=MS, 52=2022-09-20-19:06:13, 55=ABM, 40=2, 38=18643, 21=2, 11=algo20220920190613, 60=2022-09-20-19:06:13, 54=1, 44=31.64, 10=0252,
8=FIX4.4, 35=D, 34=113, 49=M3, 56=MS, 52=2022-09-20-19:06:15, 55=AAPL, 40=2, 38=32158, 21=2, 11=algo20220920190615, 60=2022-09-20-19:06:15, 54=1, 44=284.65, 10=0252,
8=FIX4.4, 35=D, 34=115, 49=M3, 56=MS, 52=2022-09-20-19:06:17, 55=PEP, 40=2, 38=6786, 21=2, 11=algo20220920190617, 60=2022-09-20-19:06:17, 54=1, 44=45.43, 10=0252,
8=FIX4.4, 35=D, 34=117, 49=M3, 56=MS, 52=2022-09-20-19:06:19, 55=, 40=2, 38=16691, 21=2, 11=algo20220920190619, 60=2022-09-20-19:06:19, 54=2, 44=, 10=0252,
8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2022-09-21-15:41:31, 55=AAPL, 40=2, 38=28948, 21=2, 11=algo20220921154131, 60=2022-09-21-15:41:31, 54=2, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2022-09-21-15:41:33, 55=MSFT, 40=2, 38=21212, 21=2, 11=algo20220921154133, 60=2022-09-21-15:41:33, 54=2, 44=59.89, 10=0252,
8=FIX4.4, 35=D, 34=56, 49=M3, 56=MS, 52=2022-09-21-15:41:35, 55=AMZN, 40=2, 38=24469, 21=2, 11=algo20220921154135, 60=2022-09-21-15:41:35, 54=2, 44=133.47, 10=0252,
8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2022-09-21-15:41:37, 55=FB, 40=2, 38=21584, 21=2, 11=algo20220921154137, 60=2022-09-21-15:41:37, 54=1, 44=430.62, 10=0252,
8=FIX4.4, 35=D, 34=58, 49=M3, 56=MS, 52=2022-09-21-15:41:38, 55=GOOG, 40=2, 38=29947, 21=2, 11=algo20220921154138, 60=2022-09-21-15:41:38, 54=1, 44=42.05, 10=0252,
8=FIX4.4, 35=D, 34=60, 49=M3, 56=MS, 52=2022-09-21-15:41:41, 55=GOOGL, 40=2, 38=10347, 21=2, 11=algo20220921154141, 60=2022-09-21-15:41:41, 54=2, 44=289.20, 10=0252,
8=FIX4.4, 35=D, 34=62, 49=M3, 56=MS, 52=2022-09-21-15:41:44, 55=INTC, 40=2, 38=11954, 21=2, 11=algo20220921154144, 60=2022-09-21-15:41:44, 54=2, 44=339.13, 10=0252,
8=FIX4.4, 35=D, 34=64, 49=M3, 56=MS, 52=2022-09-21-15:41:46, 55=PEP, 40=2, 38=19786, 21=2, 11=algo20220921154146, 60=2022-09-21-15:41:46, 54=2, 44=36.21, 10=0252,
8=FIX4.4, 35=D, 34=66, 49=M3, 56=MS, 52=2022-09-21-15:41:48, 55=NFLX, 40=2, 38=4777, 21=2, 11=algo20220921154148, 60=2022-09-21-15:41:48, 54=2, 44=306.71, 10=0252,
8=FIX4.4, 35=D, 34=68, 49=M3, 56=MS, 52=2022-09-21-15:41:50, 55=CSCO, 40=2, 38=5334, 21=2, 11=algo20220921154150, 60=2022-09-21-15:41:50, 54=1, 44=233.73, 10=0252,
8=FIX4.4, 35=D, 34=70, 49=M3, 56=MS, 52=2022-09-21-15:41:52, 55=AMGN, 40=2, 38=30935, 21=2, 11=algo20220921154152, 60=2022-09-21-15:41:52, 54=1, 44=116.62, 10=0252,
8=FIX4.4, 35=D, 34=71, 49=M3, 56=MS, 52=2022-09-21-15:41:53, 55=PYPL, 40=2, 38=32522, 21=2, 11=algo20220921154153, 60=2022-09-21-15:41:53, 54=1, 44=723.61, 10=0252,
8=FIX4.4, 35=D, 34=73, 49=M3, 56=MS, 52=2022-09-21-15:41:56, 55=TSLA, 40=2, 38=7342, 21=2, 11=algo20220921154156, 60=2022-09-21-15:41:56, 54=2, 44=503.77, 10=0252,
8=FIX4.4, 35=D, 34=74, 49=M3, 56=MS, 52=2022-09-21-15:41:58, 55=TXN, 40=2, 38=16246, 21=2, 11=algo20220921154158, 60=2022-09-21-15:41:58, 54=2, 44=112.46, 10=0252,
8=FIX4.4, 35=D, 34=76, 49=M3, 56=MS, 52=2022-09-21-15:42:00, 55=AVGO, 40=2, 38=7665, 21=2, 11=algo20220921154200, 60=2022-09-21-15:42:00, 54=1, 44=262.99, 10=0252,
8=FIX4.4, 35=D, 34=78, 49=M3, 56=MS, 52=2022-09-21-15:42:02, 55=GILD, 40=2, 38=10760, 21=2, 11=algo20220921154202, 60=2022-09-21-15:42:02, 54=2, 44=82.91, 10=0252,
8=FIX4.4, 35=D, 34=79, 49=M3, 56=MS, 52=2022-09-21-15:42:04, 55=SBUX, 40=2, 38=19721, 21=2, 11=algo20220921154204, 60=2022-09-21-15:42:04, 54=2, 44=75.71, 10=0252,
8=FIX4.4, 35=D, 34=81, 49=M3, 56=MS, 52=2022-09-21-15:42:08, 55=QCOM, 40=2, 38=19200, 21=2, 11=algo20220921154208, 60=2022-09-21-15:42:08, 54=2, 44=75.47, 10=0252,
8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2022-09-21-15:42:10, 55=TMUS, 40=2, 38=7858, 21=2, 11=algo20220921154210, 60=2022-09-21-15:42:10, 54=1, 44=90.74, 10=0252,
8=FIX4.4, 35=D, 34=84, 49=M3, 56=MS, 52=2022-09-21-15:42:12, 55=MDLZ, 40=2, 38=21500, 21=2, 11=algo20220921154212, 60=2022-09-21-15:42:12, 54=1, 44=52.26, 10=0252,
8=FIX4.4, 35=D, 34=85, 49=M3, 56=MS, 52=2022-09-21-15:42:15, 55=BAC, 40=2, 38=9336, 21=2, 11=algo20220921154215, 60=2022-09-21-15:42:15, 54=1, 44=22.03, 10=0252,
8=FIX4.4, 35=D, 34=86, 49=M3, 56=MS, 52=2022-09-21-15:42:16, 55=DDD, 40=2, 38=1463, 21=2, 11=algo20220921154216, 60=2022-09-21-15:42:16, 54=2, 44=8.01, 10=0252,
8=FIX4.4, 35=D, 34=87, 49=M3, 56=MS, 52=2022-09-21-15:42:19, 55=MMM, 40=2, 38=28167, 21=2, 11=algo20220921154219, 60=2022-09-21-15:42:19, 54=1, 44=146.98, 10=0252,
8=FIX4.4, 35=D, 34=88, 49=M3, 56=MS, 52=2022-09-21-15:42:21, 55=WBAI, 40=2, 38=354, 21=2, 11=algo20220921154221, 60=2022-09-21-15:42:21, 54=1, 44=4.10, 10=0252,
8=FIX4.4, 35=D, 34=90, 49=M3, 56=MS, 52=2022-09-21-15:42:23, 55=WUBA, 40=2, 38=23356, 21=2, 11=algo20220921154223, 60=2022-09-21-15:42:23, 54=2, 44=51.41, 10=0252,
8=FIX4.4, 35=D, 34=92, 49=M3, 56=MS, 52=2022-09-21-15:42:27, 55=EGHT, 40=2, 38=788, 21=2, 11=algo20220921154227, 60=2022-09-21-15:42:27, 54=2, 44=17.03, 10=0252,
8=FIX4.4, 35=D, 34=93, 49=M3, 56=MS, 52=2022-09-21-15:42:28, 55=AHC, 40=2, 38=3735, 21=2, 11=algo20220921154228, 60=2022-09-21-15:42:28, 54=2, 44=1.40, 10=0252,
8=FIX4.4, 35=D, 34=95, 49=M3, 56=MS, 52=2022-09-21-15:42:30, 55=AOS, 40=2, 38=20986, 21=2, 11=algo20220921154230, 60=2022-09-21-15:42:30, 54=2, 44=40.38, 10=0252,
8=FIX4.4, 35=D, 34=97, 49=M3, 56=MS, 52=2022-09-21-15:42:32, 55=ATEN, 40=2, 38=4397, 21=2, 11=algo20220921154232, 60=2022-09-21-15:42:32, 54=1, 44=6.45, 10=0252,
8=FIX4.4, 35=D, 34=99, 49=M3, 56=MS, 52=2022-09-21-15:42:37, 55=AIR, 40=2, 38=19166, 21=2, 11=algo20220921154237, 60=2022-09-21-15:42:37, 54=1, 44=16.31, 10=0252,
8=FIX4.4, 35=D, 34=100, 49=M3, 56=MS, 52=2022-09-21-15:42:42, 55=AAN, 40=2, 38=19862, 21=2, 11=algo20220921154242, 60=2022-09-21-15:42:42, 54=1, 44=25.68, 10=0252,
8=FIX4.4, 35=D, 34=102, 49=M3, 56=MS, 52=2022-09-21-15:42:44, 55=ABB, 40=2, 38=24561, 21=2, 11=algo20220921154244, 60=2022-09-21-15:42:44, 54=1, 44=17.42, 10=0252,
8=FIX4.4, 35=D, 34=104, 49=M3, 56=MS, 52=2022-09-21-15:42:49, 55=ABT, 40=2, 38=15211, 21=2, 11=algo20220921154249, 60=2022-09-21-15:42:49, 54=2, 44=94.04, 10=0252,
8=FIX4.4, 35=D, 34=105, 49=M3, 56=MS, 52=2022-09-21-15:42:50, 55=ABBV, 40=2, 38=18501, 21=2, 11=algo20220921154250, 60=2022-09-21-15:42:50, 54=2, 44=83.60, 10=0252,
8=FIX4.4, 35=D, 34=107, 49=M3, 56=MS, 52=2022-09-21-15:42:52, 55=ANF, 40=2, 38=7326, 21=2, 11=algo20220921154252, 60=2022-09-21-15:42:52, 54=1, 44=9.10, 10=0252,
8=FIX4.4, 35=D, 34=109, 49=M3, 56=MS, 52=2022-09-21-15:42:54, 55=ABM, 40=2, 38=9462, 21=2, 11=algo20220921154254, 60=2022-09-21-15:42:54, 54=1, 44=31.64, 10=0252,
8=FIX4.4, 35=D, 34=110, 49=M3, 56=MS, 52=2022-09-21-15:42:56, 55=AAPL, 40=2, 38=31392, 21=2, 11=algo20220921154256, 60=2022-09-21-15:42:56, 54=1, 44=284.65, 10=0252,
8=FIX4.4, 35=D, 34=112, 49=M3, 56=MS, 52=2022-09-21-15:42:58, 55=PEP, 40=2, 38=24898, 21=2, 11=algo20220921154258, 60=2022-09-21-15:42:58, 54=1, 44=45.43, 10=0252,
8=FIX4.4, 35=D, 34=114, 49=M3, 56=MS, 52=2022-09-21-15:43:00, 55=, 40=2, 38=7973, 21=2, 11=algo20220921154300, 60=2022-09-21-15:43:00, 54=1, 44=, 10=0252,
8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2022-09-21-17:10:45, 55=AAPL, 40=2, 38=22037, 21=2, 11=algo20220921171045, 60=2022-09-21-17:10:45, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=53, 49=M3, 56=MS, 52=2022-09-21-17:10:47, 55=MSFT, 40=2, 38=25393, 21=2, 11=algo20220921171047, 60=2022-09-21-17:10:47, 54=2, 44=59.89, 10=0252,
8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2022-09-21-17:10:49, 55=AMZN, 40=2, 38=4984, 21=2, 11=algo20220921171049, 60=2022-09-21-17:10:49, 54=2, 44=133.47, 10=0252,
8=FIX4.4, 35=D, 34=56, 49=M3, 56=MS, 52=2022-09-21-17:10:51, 55=FB, 40=2, 38=30539, 21=2, 11=algo20220921171051, 60=2022-09-21-17:10:51, 54=1, 44=430.62, 10=0252,
8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2022-09-21-17:10:52, 55=GOOG, 40=2, 38=7717, 21=2, 11=algo20220921171052, 60=2022-09-21-17:10:52, 54=1, 44=42.05, 10=0252,
8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2022-09-21-17:10:54, 55=GOOGL, 40=2, 38=29498, 21=2, 11=algo20220921171054, 60=2022-09-21-17:10:54, 54=2, 44=289.20, 10=0252,
8=FIX4.4, 35=D, 34=61, 49=M3, 56=MS, 52=2022-09-21-17:10:57, 55=INTC, 40=2, 38=28963, 21=2, 11=algo20220921171057, 60=2022-09-21-17:10:57, 54=2, 44=339.13, 10=0252,
8=FIX4.4, 35=D, 34=63, 49=M3, 56=MS, 52=2022-09-21-17:10:59, 55=PEP, 40=2, 38=3194, 21=2, 11=algo20220921171059, 60=2022-09-21-17:10:59, 54=2, 44=36.21, 10=0252,
8=FIX4.4, 35=D, 34=65, 49=M3, 56=MS, 52=2022-09-21-17:11:01, 55=NFLX, 40=2, 38=27903, 21=2, 11=algo20220921171101, 60=2022-09-21-17:11:01, 54=2, 44=306.71, 10=0252,
8=FIX4.4, 35=D, 34=67, 49=M3, 56=MS, 52=2022-09-21-17:11:04, 55=CSCO, 40=2, 38=17160, 21=2, 11=algo20220921171104, 60=2022-09-21-17:11:04, 54=1, 44=233.73, 10=0252,
8=FIX4.4, 35=D, 34=69, 49=M3, 56=MS, 52=2022-09-21-17:11:07, 55=AMGN, 40=2, 38=5229, 21=2, 11=algo20220921171107, 60=2022-09-21-17:11:07, 54=2, 44=116.62, 10=0252,
8=FIX4.4, 35=D, 34=71, 49=M3, 56=MS, 52=2022-09-21-17:11:09, 55=PYPL, 40=2, 38=555, 21=2, 11=algo20220921171109, 60=2022-09-21-17:11:09, 54=1, 44=723.61, 10=0252,
8=FIX4.4, 35=D, 34=73, 49=M3, 56=MS, 52=2022-09-21-17:11:11, 55=TSLA, 40=2, 38=32033, 21=2, 11=algo20220921171111, 60=2022-09-21-17:11:11, 54=2, 44=503.77, 10=0252,
8=FIX4.4, 35=D, 34=74, 49=M3, 56=MS, 52=2022-09-21-17:11:12, 55=TXN, 40=2, 38=6132, 21=2, 11=algo20220921171112, 60=2022-09-21-17:11:12, 54=2, 44=112.46, 10=0252,
8=FIX4.4, 35=D, 34=75, 49=M3, 56=MS, 52=2022-09-21-17:11:16, 55=AVGO, 40=2, 38=18927, 21=2, 11=algo20220921171116, 60=2022-09-21-17:11:16, 54=1, 44=262.99, 10=0252,
8=FIX4.4, 35=D, 34=77, 49=M3, 56=MS, 52=2022-09-21-17:11:19, 55=GILD, 40=2, 38=9254, 21=2, 11=algo20220921171119, 60=2022-09-21-17:11:19, 54=2, 44=82.91, 10=0252,
8=FIX4.4, 35=D, 34=79, 49=M3, 56=MS, 52=2022-09-21-17:11:21, 55=SBUX, 40=2, 38=4015, 21=2, 11=algo20220921171121, 60=2022-09-21-17:11:21, 54=1, 44=75.71, 10=0252,
8=FIX4.4, 35=D, 34=80, 49=M3, 56=MS, 52=2022-09-21-17:11:22, 55=QCOM, 40=2, 38=2594, 21=2, 11=algo20220921171122, 60=2022-09-21-17:11:22, 54=2, 44=75.47, 10=0252,
8=FIX4.4, 35=D, 34=81, 49=M3, 56=MS, 52=2022-09-21-17:11:24, 55=TMUS, 40=2, 38=26058, 21=2, 11=algo20220921171124, 60=2022-09-21-17:11:24, 54=2, 44=90.74, 10=0252,
8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2022-09-21-17:11:27, 55=MDLZ, 40=2, 38=26096, 21=2, 11=algo20220921171127, 60=2022-09-21-17:11:27, 54=2, 44=52.26, 10=0252,
8=FIX4.4, 35=D, 34=84, 49=M3, 56=MS, 52=2022-09-21-17:11:30, 55=BAC, 40=2, 38=7568, 21=2, 11=algo20220921171130, 60=2022-09-21-17:11:30, 54=2, 44=22.03, 10=0252,
8=FIX4.4, 35=D, 34=86, 49=M3, 56=MS, 52=2022-09-21-17:11:32, 55=DDD, 40=2, 38=17841, 21=2, 11=algo20220921171132, 60=2022-09-21-17:11:32, 54=2, 44=8.01, 10=0252,
8=FIX4.4, 35=D, 34=87, 49=M3, 56=MS, 52=2022-09-21-17:11:33, 55=MMM, 40=2, 38=3776, 21=2, 11=algo20220921171133, 60=2022-09-21-17:11:33, 54=1, 44=146.98, 10=0252,
8=FIX4.4, 35=D, 34=89, 49=M3, 56=MS, 52=2022-09-21-17:11:35, 55=WBAI, 40=2, 38=15062, 21=2, 11=algo20220921171135, 60=2022-09-21-17:11:35, 54=1, 44=4.10, 10=0252,
8=FIX4.4, 35=D, 34=90, 49=M3, 56=MS, 52=2022-09-21-17:11:40, 55=WUBA, 40=2, 38=14853, 21=2, 11=algo20220921171140, 60=2022-09-21-17:11:40, 54=1, 44=51.41, 10=0252,
8=FIX4.4, 35=D, 34=92, 49=M3, 56=MS, 52=2022-09-21-17:11:42, 55=EGHT, 40=2, 38=29863, 21=2, 11=algo20220921171142, 60=2022-09-21-17:11:42, 54=1, 44=17.03, 10=0252,
8=FIX4.4, 35=D, 34=94, 49=M3, 56=MS, 52=2022-09-21-17:11:44, 55=AHC, 40=2, 38=13513, 21=2, 11=algo20220921171144, 60=2022-09-21-17:11:44, 54=1, 44=1.40, 10=0252,
8=FIX4.4, 35=D, 34=95, 49=M3, 56=MS, 52=2022-09-21-17:11:48, 55=AOS, 40=2, 38=19261, 21=2, 11=algo20220921171148, 60=2022-09-21-17:11:48, 54=2, 44=40.38, 10=0252,
8=FIX4.4, 35=D, 34=97, 49=M3, 56=MS, 52=2022-09-21-17:11:51, 55=ATEN, 40=2, 38=17653, 21=2, 11=algo20220921171151, 60=2022-09-21-17:11:51, 54=1, 44=6.45, 10=0252,
8=FIX4.4, 35=D, 34=99, 49=M3, 56=MS, 52=2022-09-21-17:11:55, 55=AIR, 40=2, 38=20638, 21=2, 11=algo20220921171155, 60=2022-09-21-17:11:55, 54=2, 44=16.31, 10=0252,
8=FIX4.4, 35=D, 34=101, 49=M3, 56=MS, 52=2022-09-21-17:11:57, 55=AAN, 40=2, 38=30627, 21=2, 11=algo20220921171157, 60=2022-09-21-17:11:57, 54=2, 44=25.68, 10=0252,
8=FIX4.4, 35=D, 34=102, 49=M3, 56=MS, 52=2022-09-21-17:12:00, 55=ABB, 40=2, 38=8827, 21=2, 11=algo20220921171200, 60=2022-09-21-17:12:00, 54=2, 44=17.42, 10=0252,
8=FIX4.4, 35=D, 34=104, 49=M3, 56=MS, 52=2022-09-21-17:12:02, 55=ABT, 40=2, 38=24628, 21=2, 11=algo20220921171202, 60=2022-09-21-17:12:02, 54=2, 44=94.04, 10=0252,
8=FIX4.4, 35=D, 34=106, 49=M3, 56=MS, 52=2022-09-21-17:12:04, 55=ABBV, 40=2, 38=18825, 21=2, 11=algo20220921171204, 60=2022-09-21-17:12:04, 54=1, 44=83.60, 10=0252,
8=FIX4.4, 35=D, 34=107, 49=M3, 56=MS, 52=2022-09-21-17:12:05, 55=ANF, 40=2, 38=5502, 21=2, 11=algo20220921171205, 60=2022-09-21-17:12:05, 54=1, 44=9.10, 10=0252,
8=FIX4.4, 35=D, 34=108, 49=M3, 56=MS, 52=2022-09-21-17:12:06, 55=ABM, 40=2, 38=9939, 21=2, 11=algo20220921171206, 60=2022-09-21-17:12:06, 54=1, 44=31.64, 10=0252,
8=FIX4.4, 35=D, 34=110, 49=M3, 56=MS, 52=2022-09-21-17:12:10, 55=AAPL, 40=2, 38=21489, 21=2, 11=algo20220921171210, 60=2022-09-21-17:12:10, 54=1, 44=284.65, 10=0252,
8=FIX4.4, 35=D, 34=112, 49=M3, 56=MS, 52=2022-09-21-17:12:14, 55=PEP, 40=2, 38=30567, 21=2, 11=algo20220921171214, 60=2022-09-21-17:12:14, 54=1, 44=45.43, 10=0252,
8=FIX4.4, 35=D, 34=114, 49=M3, 56=MS, 52=2022-09-21-17:12:16, 55=, 40=2, 38=12357, 21=2, 11=algo20220921171216, 60=2022-09-21-17:12:16, 54=1, 44=, 10=0252,
